CALL | a6408b68f14cb60.43651605 | unit | ESLBSPMM-DAD-GIF | 000 | 1678292623336739277 
CALL | a6408b68f14cb60.43651605 | unit | ESBSPCMC-GIF | 000 | 1678292623342909079 
CALL | a6408b68f14cb60.43651605 | unit | ESHAUDIOERKLAERUNG | 000 | 1678292623349183628 
CALL | a6408b68f14cb60.43651605 | unit | EL614 | 000 | 1678292623355655237 
CALL | a6408b68f14cb60.43651605 | unit | EL602 | 000 |  
CALL | a6408b68f14cb60.43651605 | unit | EL596 | 000 |  
CALL | a6408b68f14cb60.43651605 | unit | ER543 | 000 |  
CALL | a6408b68f14cb60.43651605 | unit | ESHWART | 000 |  
CALL |  | unit | ESLBSPMM-DAD-GIF | 000 |  
CALL |  | unit | ESBSPCMC-GIF | 000 |  
CALL |  | unit | EL643 | 000 | 1678292623008284394 
CALL |  | unit | EL595 | 000 |  
CALL |  | unit | EL596 | 000 |  
CALL |  | unit | ESBSPMC-GIF | 000 |  
CALL |  | unit | ER543 | 405 | 1678292623017220079 
CALL |  | resource | ESbspMC-Gif.voud | 000 |  
CALL |  | resource | ESHinst.voud | 000 | 1678292623253165241 
CALL |  | unit | ESLHSTART | 000 | 1678292622920199660 
CALL |  | unit | ER552 | 000 |  
CALL |  | resource | ER543.voud | 000 |  
CALL |  | resource | ESHwart.voud | 000 |  
CALL |  | resource | ESHLende.voud | 000 | 1678292623085754974 
CALL |  | unit | EL643 | 000 |  
CALL |  | unit | EL596 | 000 |  
CALL |  | unit | ER512 | 000 | 1678292623075296832 
CALL |  | unit | ESHLENDE | 405 | 1678292623103338843 
CALL |  | resource | ESLHstart.voud | 000 |  
CALL | a6408b68edf0c24.32396793 | unit | ESBSPSA-GIF | 000 |  
CALL | a6408b8715a4a20.21574090 | unit | ESINFOLAENDER | 200 | 1678293112031253399 
CALL | a6408b8715a4a20.21574090 | unit | ESLHSTART | 200 | 1678293118784940872 
CALL | a6408b8715a4a20.21574090 | unit | ESBSPMC-GIF | 200 | 1678293124201938991 
CALL | a6408b8715a4a20.21574090 | unit | ESBSPSA-GIF | 200 | 1678293128371641747 
CALL | a6408b8715a4a20.21574090 | unit | ESLBSPMM-DAD-GIF | 200 | 1678293133792583050 
